Name (Please put name if doing premade run,Personal #,PACE Computer # (if in pace),Second AoA,Second Gap Size,Second Gap Angle,Third AoA,Third Gap Size,Third Gap Angle,Downforce,Drag Force,L/D
Viktor,,,14.86658964,11.79538395,12.86200891,61.39936763,17.56634321,90.77221878,68.60106,11.67854,5.874112689
Viktor,,,7.70180278,19.54614178,91.98992721,52.65699836,17.37637091,92.40824663,71.842741,11.132769,6.453267916
Viktor,,,5.795123508,14.91261838,72.88401891,56.96969601,8.190183351,92.27539714,71.746788,11.72153,6.120940526
Viktor,,,0.3419523655,23.02615942,82.43330813,67.57438032,14.45455045,41.77100631,47.695022,8.5063084,5.607017728
Viktor,,,14.78898863,17.25549036,69.83637324,55.56688606,3.696232425,97.91623653,85.663568,14.913091,5.744185964
Viktor,,,20.39188666,11.34558167,77.37602069,48.20561116,8.522373886,91.14274318,88.98783,14.794824,6.014794769
Viktor - oscillations,,,3.380229424,8.337942326,63.03771437,67.83054008,18.12987054,59.26637324,45.6598,9.1321,4.999923347
Viktor,,,7.864955036,17.83958008,88.88345553,56.23013074,22.70732789,91.71866264,64.668192,10.041457,6.440120393
Viktor,,,12.25418488,14.75181933,39.1455779,73.22668385,4.031618364,48.39152653,65.708655,11.68224,5.624662308
Viktor,,,15.04398052,12.21537954,96.5327812,55.7056155,15.48567274,57.58436907,78.94408,12.878754,6.129791748
Viktor,,,8.806128082,8.723909924,44.31135465,64.7772883,11.45288883,83.42555008,62.274612,10.609027,5.869964512
Viktor,,,11.30605757,8.083651442,95.4204589,62.3737723,6.561169412,35.55809549,65.20673,10.699634,6.094295375
Viktor,,,7.966580763,10.01662829,89.57210298,71.09709081,13.90451913,56.63549073,58.801753,10.26725,5.72711807
Viktor,,,7.88589613,11.83644286,93.48362124,74.11320911,22.62927182,24.72309202,51.399129,9.4179493,5.457571215
Viktor,,,8.195086317,15.72639186,94.54642993,61.04672523,14.42627735,69.63383011,64.511433,10.46173,6.166421137
Viktor,,,1.026328245,9.307967402,81.49430019,64.25818762,22.90076978,99.54909927,51.038625,8.718507,5.854055631
Viktor,,,4.6304207,27.45236858,87.4843762,57.05039381,15.78159494,97.75711591,64.702323,9.9745585,6.486735528
Viktor,,,4.658439461,29.30531033,95.27515228,49.69533089,15.41372279,99.31788288,72.94421,10.912653,6.684369969
Viktor,,,8.118676371,17.1460581,76.05980577,60.54108291,8.697233778,66.9765279,66.383006,10.709326,6.198616608
Viktor,,,14.89251744,13.49532665,70.19906928,68.97297158,7.452187817,18.22862642,67.3229,11.457483,5.875889146
Viktor,,,3.756893011,6.5069822,46.72294027,67.92203437,20.48615023,98.39680658,46.219024,8.3784441,5.516420883
Viktor - oscillations,,,3.568994406,12.28572514,61.35338316,63.45385104,5.242502017,49.3472591,55.1615,9.25435,5.960602311
Viktor,,,5.842840883,13.72805463,80.88074569,55.27490709,20.29630604,94.48383926,61.436025,9.5372979,6.441659435
Viktor,,,10.99660202,23.81081829,98.68477363,58.0704913,6.787682132,80.04711107,84.431138,14.007926,6.027383211
Viktor,,,5.598593455,15.53880509,37.88835555,70.0295726,8.117641951,52.17170553,55.129488,9.7828435,5.635323513
Viktor,,,23.71865436,9.686326331,78.27400714,49.45014696,4.718397152,17.90538748,88.566526,14.59243,6.069347326
Viktor,,,15.37132484,9.045121252,22.51192043,71.95951384,13.54246262,48.67151562,63.72616,11.284759,5.647099774
Viktor,,,4.054768699,10.77880477,65.28925409,71.5141059,18.06187614,88.07617243,55.282908,9.8209156,5.629099185
Viktor,,,5.405631683,6.832690796,97.19325192,65.29509333,25.28001256,84.50898473,55.71388,9.6092247,5.797957873
Viktor,,,7.157586655,7.07894934,85.51491055,74.52165708,24.83490626,69.3534474,54.78235,9.709217,5.642303597
Viktor,,,3.744513668,8.549608402,81.59632595,68.00965773,26.63097144,58.69889759,48.772409,8.7729879,5.55938405
