Name,Workbench,Computer,Second AoA,Second Gap Size (mm),Second Gap Angle,Third Aoa,Third Gap size (mm),Third Gap Angle ,Lift (N),Drag (N),L/D,Notes,Ran Or no?
Base Low Drag,,,2,112.58,104.71,0,163.01,116.46,44.192,10.4643,4.223120515,,1
Base Low Drag ,,,2,112.58,104.71,0,163.01,116.46,44.22,10.4655,4.225311739,,1
Base Efficiency,,,29.6,7.9,90,56.9,11.9,90,115.668,42.1952,2.741259669,,1
Base Efficiency,,,29.6,7.9,90,56.9,11.9,90,115.8334,42.2346,2.742618611,Runs from timeout +2 ,1
Set one ,,,20.17871974,43.32941333,125.5031106,50.92846425,22.62886993,111.5310617,106.4117,35.7277,2.97840891,,1
Set one ,,,15.58308611,38.66946,104.6978071,55.62489129,37.18496353,112.1598438,96.5136,31.4124,3.072468197,,1
Set one ,,,19.48700123,58.70148012,136.5825553,43.06855435,34.26926232,95.05075208,97.5303,30.1604,3.233720375,,1
Set one ,,,15.9796107,30.74771586,104.3248203,53.89271824,36.34357839,134.0140013,99.9721,32.6298,3.063828157,,1
Set one ,,,16.52845181,35.86203065,138.7416323,56.52176425,37.41506372,116.9352214,86.189,28.8475,2.987745905,,1
Set one ,,,16.25355764,44.57160189,132.168502,59.63267343,37.92739261,136.9142803,96.9617,32.4581,2.987288227,,1
Set one ,,,18.62395971,49.45900022,137.3285537,49.11240216,19.38040999,124.9231499,104.0194,33.8956,3.068817192,,1
Set one ,,,16.23277762,38.25261063,115.8834123,58.35561595,20.21596977,124.1463341,105.7599,36.1112,2.928728483,,1
Set one ,,,18.34231548,31.31571591,134.2800164,58.08506116,32.53660205,89.67345441,81.8673,27.9784,2.926089412,,1
Diverged,,,19.69923104,41.42713974,132.7697874,51.82520749,36.80428091,130.8603775,,,0,,0
Diverged,,,21.69854176,47.02572046,135.4057349,38.55285078,30.65888485,129.1784501,,,0,,0
Set one ,,,24.68023109,53.38173658,135.743851,39.6230909,29.96535547,126.79222,102.6927,32.4017,3.169361484,,1
Set one ,,,15.37557665,32.99361052,118.6466134,56.62061614,27.22846951,135.4053235,102.8373,34.2833,2.999632474,Runs from being logging in +5 ,1
Set one ,,,17.56845262,53.12688241,133.2111687,52.96752791,20.91471211,103.8941187,103.9386,34.3113,3.029281898,,1
Diverged,,,22.78947897,34.40337948,116.1610706,48.76574356,24.54591652,136.3929055,,,0,,0
Set one ,,,22.37039121,39.70266989,126.1799139,44.00229695,35.6997475,120.375627,103.0865,33.1083,3.113615015,,1
Set one ,,,18.01573654,48.08202172,139.8728436,52.03298834,33.43311513,118.6997911,102.2593,33.3219,3.068831609,,1
Diverged,,,18.95146097,41.22420188,120.1662297,57.4660736,18.69906118,115.1785497,,,0,Corrupt file + 1 ,0
Set one ,,,16.1192992,52.81111511,136.7276561,53.55020402,30.30970687,99.52155091,96.7509,30.7363,3.147773154,,1
