Run Set,Run #,Runner,Status,Remoted Computer,FW AoA 2 (*),FW AoA 3 (*),Car Lift (N),Car Drag (N),Car L/D,FW Lift (N),FW Drag (N),FW L/D,CoL (mm),CoL %,Aero Balance,Iterations,Time/Iter (s),Total Time (hr),Notes
Baseline,1,Viktor,Complete,,10,30,318.9,156.5,2.037699681,98.8,10.7,9.23364486,678.3,0.556666667,,1082,53,15.92944444,
OLHS,2,Viktor,Complete,,6.42,26.37,315.4,157.7,2,87.1,8.5,10.24705882,714.9,0.532745098,,889,53,13.08805556,
OLHS,3,Viktor,Complete,,8.13,30.66,312.2,157,1.988535032,94,10,9.4,684.6,0.55254902,,671,53,9.878611111,
OLHS,4,Viktor,Complete,,12.9,32.18,319.3,156.2,2.044174136,104.8,11.9,8.806722689,732.5,0.52124183,,851,53,12.52861111,
OLHS,5,Viktor,Complete,,17.07,33.42,332.9,156.2,2.131241997,115.5,13.7,8.430656934,704.8,0.539346405,,1071,53,15.7675,RW 133 N !?
OLHS,6,Viktor,Complete,,16.18,29.8,316.3,156.3,2.023672425,97.8,10.6,9.226415094,677.7,0.557058824,,1069,53,15.73805556,
OLHS,7,Viktor,Complete,,14.13,25.55,319.9,156.8,2.040178571,101.6,10.8,9.407407407,757.8,0.504705882,,821,53,12.08694444,
OLHS,8,Viktor,Complete,,8.26,34.76,318,156,2.038461538,100.8,11.2,9,677.9,0.556928105,,1300,53,19.13888889,
OLHS,9,Viktor,Complete,,10.93,28.63,318.4,157.1,2.026734564,99.6,10.5,9.485714286,679.2,0.556078431,,884,53,13.01444444,
Baseline,1,Viktor,Meshing,,10,30,,,#DIV/0!,,,#DIV/0!,,1,,,66.3,0,
OLHS,2,Viktor,Complete,,6.42,26.37,312.7,157.7,1.982878884,85.5,8.4,10.17857143,1140.5,0.254575163,26.8,1060,66.3,19.52166667,
OLHS,3,Viktor,Complete,,8.13,30.66,318.9,157,2.031210191,95.8,10.1,9.485148515,1063.2,0.305098039,30.3,1084,66.3,19.96366667,
OLHS,4,Viktor,Complete,9,12.9,32.18,319.7,156.7,2.040204212,105.4,11.9,8.857142857,993.3,0.350784314,34.5,1082,66.3,19.92683333,
OLHS,5,Viktor,Complete,8,17.07,33.42,322.3,154.4,2.087435233,112.5,13.6,8.272058824,914.1,0.40254902,40.3,1104,66.3,20.332,
OLHS,6,Viktor,Complete,,16.18,29.8,324.1,155,2.090967742,111,12.8,0.8671875,941.8,0.384444444,38,1106,66.3,20.36883333,
OLHS,7,Viktor,Complete,,14.13,25.55,317.1,156.4,2.027493606,101,10.7,9.439252336,1040.8,0.319738562,31.5,893,66.3,16.44608333,
OLHS,8,Viktor,Complete,,8.26,34.76,319.7,158.1,2.022137887,100.7,112,0.899107143,1035,0.323529412,33.7,1084,66.3,19.96366667,
OLHS,9,Viktor,Complete,,10.93,28.63,317.6,157.9,2.01139962,97.7,10.4,9.394230769,1057,0.309150327,30.8,1081,66.3,19.90841667,
