Run Set,Run #,Runner,Status,Remoted Computer,RW AoA 1st (deg),RW AoA 2nd (deg),RW AoA 3rd (deg),RW Move X 1st (mm),RW Move x 2nd (mm),RW Move Z 1st (mm),RW Move Z 2nd (mm),3rd TE Offset (mm),Car Lift (N),Car Drag (N),Rw Lift (N),Rw Drag (N),RW L/D ,Iterations,Time/Iter (s),Total TIme (hr),Notes
Baseline,1,Viktor,Complete,,8.2,26.85,57.08,0.14,4.97,18.38,10.48,30,298.668,144.9425,141.4848,61.58168,2.297514456,2000,171.244,47.56777778,
LHS,2,Tanvi / Viktor,Complete,,5.63,27.65,54.94,-1.1,8.28,21.23,11.54,30,299.7563,143.5228,141.4397,60.41112,2.341285843,2000,53.135,14.75972222,
LHS,3,Pran,Complete,,6.38,24.42,57.04,-0.42,8.92,17.28,9.94,30,296.428,142.497,140.821,59.68,2.359601206,2000,192.32,53.42222222,
LHS,4,Pran,Complete,,10.72,29.12,58.25,-3.06,2.83,17.73,6.66,30,301.069,150.003,145.428,65.587,2.217329654,2000,192.32,53.42222222,
LHS,5,Pran,Complete,,8.1,28.95,55.1,0.22,1.49,20.77,14,30,297.12,144.661,139.436,61.331,2.273499535,2000,192.32,53.42222222,
LHS,6,Pran,Complete,,6.78,23.46,55.27,1.66,5.38,22.31,8.46,30,294.003,140.052,138.246,57.594,2.400354204,2000,192.32,53.42222222,
LHS,7,Pran,Complete,,6.15,28.35,60.04,0.32,3.93,15.02,12.16,30,302.0807,148.72,145.3,64.469,2.253796398,2000,192.32,53.42222222,
LHS,8,Pran,Complete,,9.07,25.07,53.83,3.65,5.02,17.45,12.58,30,290.908,140.0929,135.3044,57.6,2.349034722,2000,192.32,53.42222222,
LHS,9,Pran,Complete,,9.65,29.96,57.95,1.88,7.67,19.13,7.65,30,305.85,149.641,145.069,65.7922,2.204957427,2000,192.32,53.42222222,
LHS,10,Pran,Complete,,7.75,25.25,57.14,2.87,1.71,19.73,11.87,30,296.797,142.487,139.771,59.944,2.331692913,2000,192.32,53.42222222,
LHS,11,Pran,Complete,,7.58,26.79,60.98,-2.41,4.51,16.21,12.46,30,302.4397,148.9515,147.0976,64.94399,2.264991726,2000,192.32,53.42222222,
LHS,12,Pran,Complete,,8.98,30.27,56.91,0.73,6.57,16.3,10.29,30,302.9027,149.1776,146.2568,65.2327,2.242077976,2000,192.32,53.42222222,
LHS,13,Pran,Complete,,8.59,24.18,55.72,-0.67,3.17,16.73,10.05,30,292.475,141.0659,137.0715,58.67784,2.336001121,1991,192.32,52.94142222,
LHS,14,Pran,Complete,,11.12,27.93,58.82,3.68,1.45,20.02,9.63,30,300.7729,147.5386,140.9982,64.04256,2.201632789,1959,192.32,51.23191111,
LHS,15,Pran,Complete,,5.28,30.11,56.01,-1.52,6.33,15.27,14.46,30,304.211,146.314,143.631,62.184,2.309774218,1984,192.32,52.56746667,
LHS,16,Pran,Complete,,6.46,23.57,53.13,-2.05,8.08,16,13.63,30,290.248,136.8011,132.8824,55.34244,2.401093989,1979,192.32,52.30035556,
LHS,17,Pran,Complete,,7.36,22.91,53.58,-3.86,3.82,20.61,12.88,30,289.6312,136.9243,134.0436,55.7813,2.403020367,1959,192.32,51.23191111,
LHS,18,Pran,Complete,,7.87,23.02,54.49,2.08,4.13,19.46,11.94,30,289.6423,137.8147,134.3407,56.37594,2.382943859,1981,192.32,52.4072,
