Time,Ax,Ay,Beta,Pitch,Roll,Vx,Zcg_SM,,,,,
0,0.007560156,-6.14E-17,-2.86E-15,-0.006893789,0,1,0.251413834,,,,,
0.001,0.006071538,0.001124845,-1.78E-05,-0.006894012,-5.84E-19,1.000266909,0.251413841,,,,,
0.002,0.004519627,0.001858902,0.002256326,-0.006893887,6.20E-06,1.000481284,0.251413815,,,,,
0.003,0.0028828,0.002393199,0.006012057,-0.00689258,3.40E-05,1.00064088,0.251413702,,,,,
0.004,0.001186344,0.002785297,0.01084515,-0.006889107,9.54E-05,1.000742697,0.251413441,,,,,
0.005,-0.000524239,0.003073491,0.016467819,-0.006882528,0.000202374,1.000784626,0.251412968,,,,,
0.006,-0.00219247,0.003284403,0.022670011,-0.006872016,0.000364059,1.000766168,0.251412224,,,,,
0.007,-0.003758629,0.003437379,0.029295774,-0.006856924,0.000586252,1.000688816,0.251411156,,,,,
0.008,-0.005166041,0.003547016,0.036228466,-0.006836806,0.000871487,1.000556174,0.25140972,,,,,
0.009,-0.006365949,0.0036245,0.043381026,-0.006811367,0.001219949,1.000373845,0.251407881,,,,,
0.01,-0.007321002,0.003678399,0.050688933,-0.006780428,0.001630251,1.000149156,0.251405613,,,,,
0.011,-0.008007457,0.003715243,0.058104807,-0.006743907,0.00209995,0.999890751,0.251402897,,,,,
0.012,-0.008416132,0.003739975,0.065594231,-0.006701814,0.002625885,0.999608112,0.25139972,,,,,
0.013,-0.008552221,0.003756297,0.073132513,-0.00665424,0.003204427,0.999311045,0.251396077,,,,,
0.014,-0.00843418,0.003766917,0.080702184,-0.006601334,0.003831732,0.999009173,0.251391965,,,,,
0.015,-0.008091836,0.003773763,0.088291025,-0.006543277,0.004503945,0.998711468,0.251387385,,,,,
0.016,-0.007563926,0.003778206,0.095890553,-0.006480272,0.005217186,0.998425848,0.251382342,,,,,
0.017,-0.006895308,0.003781256,0.103494967,-0.006412538,0.005967519,0.998158862,0.251376842,,,,,
0.018,-0.006134015,0.003783745,0.111100495,-0.006340301,0.006750862,0.997915478,0.251370894,,,,,
0.019,-0.005328375,0.003786479,0.118705104,-0.006263794,0.007562875,0.997698967,0.251364508,,,,,
0.02,-0.004524355,0.003790371,0.126308508,-0.006183255,0.008398819,0.997510893,0.251357695,,,,,
0.021,-0.003763265,0.003796701,0.133912417,-0.006098922,0.00925338,0.997351198,0.251350472,,,,,
0.022,-0.003079967,0.003807695,0.141521273,-0.006010743,0.010118114,0.997218367,0.251342854,,,,,
0.023,-0.002501775,0.003826878,0.149144123,-0.005918547,0.010981657,0.997109652,0.251334864,,,,,
0.024,-0.002047821,0.00385859,0.156797212,-0.005822959,0.011829058,0.997021341,0.251326533,,,,,
0.025,-0.001728807,0.003906573,0.164505682,-0.005724941,0.012645815,0.996949052,0.251317894,,,,,
0.026,-0.001547131,0.00397273,0.172302463,-0.005625353,0.013422334,0.99688802,0.251308986,,,,,
0.027,-0.001497525,0.00405732,0.18022461,-0.005524947,0.014153074,0.996833399,0.251299848,,,,,
0.028,-0.001568121,0.004159603,0.188309978,-0.005424274,0.01483606,0.996780529,0.25129052,,,,,
0.029,-0.001741801,0.004278486,0.196595133,-0.00532369,0.015471612,0.996725166,0.251281035,,,,,
0.03,-0.00199772,0.004412997,0.205114536,-0.005223387,0.016061129,0.996663674,0.251271424,,,,,
0.031,-0.002312881,0.004562511,0.213900705,-0.005123444,0.016606205,0.996593148,0.251261713,,,,,
0.032,-0.002663676,0.004726776,0.222984828,-0.005023872,0.017108116,0.9965115,0.251251923,,,,,
0.033,-0.003027294,0.004905811,0.232397479,-0.004924638,0.017567608,0.996417471,0.251242071,,,,,
0.034,-0.003382934,0.00509976,0.24216913,-0.004825698,0.017984861,0.99631061,0.251232168,,,,,
0.035,-0.003712776,0.005308747,0.252330392,-0.004727006,0.018359567,0.996191197,0.251222227,,,,,
0.036,-0.004002671,0.005532765,0.262911979,-0.004628527,0.018691027,0.996060144,0.251212252,,,,,
0.037,-0.004242556,0.005771603,0.273944455,-0.00453024,0.018978269,0.995918861,0.25120225,,,,,
0.038,-0.00442657,0.006024803,0.285457837,-0.004432148,0.019220157,0.995769114,0.251192223,,,,,
0.039,-0.004552915,0.006291645,0.297481121,-0.004334276,0.019415485,0.995612875,0.251182173,,,,,
0.04,-0.004623493,0.006571153,0.310041784,-0.004236678,0.019563085,0.99545218,0.251172101,,,,,
0.041,-0.004643349,0.006862109,0.323165288,-0.004139435,0.01966191,0.995288997,0.251162007,,,,,
0.042,-0.004619983,0.007163075,0.336874625,-0.004042655,0.019711136,0.995125118,0.251151891,,,,,
