CaseID,CaseName,Beta_deg,Pitch_deg,Roll_deg,Heave_m,Velocity_mps
CASE_001,B_+0.00_P_-0.56_R_+0.00_H_0.2453_V_15.00,0,-0.5593433239,0,0.2452704095,15
CASE_002,B_+7.67_P_-0.56_R_-1.59_H_0.2453_V_15.00,7.6742523919,-0.5593433239,-1.5852782469,0.2452704095,15
CASE_003,B_+0.00_P_-0.56_R_+0.00_H_0.2505_V_15.00,0,-0.5593433239,0,0.250496227,15
CASE_004,B_+7.67_P_-0.56_R_-1.59_H_0.2505_V_15.00,7.6742523919,-0.5593433239,-1.5852782469,0.250496227,15
CASE_005,B_+0.00_P_-0.56_R_+0.00_H_0.2528_V_15.00,0,-0.5593433239,0,0.2528457793,15
CASE_006,B_+7.67_P_-0.56_R_-1.59_H_0.2528_V_15.00,7.6742523919,-0.5593433239,-1.5852782469,0.2528457793,15
CASE_007,B_+0.00_P_+0.00_R_+0.00_H_0.2453_V_15.00,0,0,0,0.2452704095,15
CASE_008,B_+7.67_P_+0.00_R_-1.59_H_0.2453_V_15.00,7.6742523919,0,-1.5852782469,0.2452704095,15
CASE_009,B_+0.00_P_+0.00_R_+0.00_H_0.2505_V_15.00,0,0,0,0.250496227,15
CASE_010,B_+7.67_P_+0.00_R_-1.59_H_0.2505_V_15.00,7.6742523919,0,-1.5852782469,0.250496227,15
CASE_011,B_+0.00_P_+0.00_R_+0.00_H_0.2528_V_15.00,0,0,0,0.2528457793,15
CASE_012,B_+7.67_P_+0.00_R_-1.59_H_0.2528_V_15.00,7.6742523919,0,-1.5852782469,0.2528457793,15
CASE_013,B_+0.00_P_+0.52_R_+0.00_H_0.2453_V_15.00,0,0.5172523535,0,0.2452704095,15
CASE_014,B_+0.00_P_+0.52_R_+0.00_H_0.2505_V_15.00,0,0.5172523535,0,0.250496227,15
CASE_015,B_+0.00_P_+0.52_R_+0.00_H_0.2528_V_15.00,0,0.5172523535,0,0.2528457793,15
